DATE,IPB51000N
1939-01-01,11.8588
1939-02-01,11.8200
1939-03-01,11.8975
1939-04-01,11.8588
1939-05-01,11.8975
1939-06-01,12.1300
1939-07-01,12.2463
1939-08-01,12.2851
1939-09-01,12.5563
1939-10-01,12.7889
1939-11-01,13.0601
1939-12-01,13.0601
1940-01-01,12.8664
1940-02-01,12.7113
1940-03-01,12.4788
1940-04-01,12.5176
1940-05-01,12.5563
1940-06-01,12.8664
1940-07-01,12.7113
1940-08-01,12.7889
1940-09-01,13.2151
1940-10-01,13.5639
1940-11-01,13.9902
1940-12-01,14.3390
1941-01-01,14.4165
1941-02-01,14.8041
1941-03-01,15.0366
1941-04-01,15.2304
1941-05-01,15.6954
1941-06-01,15.9279
1941-07-01,15.8892
1941-08-01,15.9667
1941-09-01,16.0830
1941-10-01,16.1605
1941-11-01,16.3155
1941-12-01,16.1605
1942-01-01,16.2767
1942-02-01,16.0055
1942-03-01,15.8504
1942-04-01,13.6027
1942-05-01,13.4864
1942-06-01,13.4864
1942-07-01,13.7190
1942-08-01,13.9515
1942-09-01,14.1453
1942-10-01,14.2615
1942-11-01,14.4165
1942-12-01,14.5715
1943-01-01,13.9515
1943-02-01,14.0290
1943-03-01,13.9515
1943-04-01,14.0290
1943-05-01,14.3390
1943-06-01,14.7266
1943-07-01,15.0754
1943-08-01,15.3466
1943-09-01,15.6567
1943-10-01,15.3466
1943-11-01,15.3079
1943-12-01,14.8428
1944-01-01,14.8041
1944-02-01,14.8428
1944-03-01,14.8816
1944-04-01,14.9203
1944-05-01,15.0754
1944-06-01,15.4241
1944-07-01,15.5792
1944-08-01,16.1605
1944-09-01,16.0830
1944-10-01,15.8892
1944-11-01,15.7729
1944-12-01,15.5404
1945-01-01,15.5792
1945-02-01,15.4629
1945-03-01,15.3079
1945-04-01,15.3466
1945-05-01,15.4629
1945-06-01,15.8504
1945-07-01,15.9279
1945-08-01,15.4629
1945-09-01,16.5093
1945-10-01,16.4317
1945-11-01,16.7805
1945-12-01,16.7805
1946-01-01,17.4006
1946-02-01,18.0207
1946-03-01,17.7881
1946-04-01,17.9044
1946-05-01,18.0594
1946-06-01,18.3307
1946-07-01,18.8733
1946-08-01,19.8033
1946-09-01,20.5009
1946-10-01,20.4234
1946-11-01,20.5397
1946-12-01,20.4234
1947-01-01,19.5708
1947-02-01,19.8421
1947-03-01,19.8033
1947-04-01,19.2220
1947-05-01,18.9895
1947-06-01,19.6096
1947-07-01,18.9895
1947-08-01,20.8497
1947-09-01,21.4698
1947-10-01,21.8961
1947-11-01,21.3923
1947-12-01,20.6172
1948-01-01,20.4622
1948-02-01,20.8497
1948-03-01,20.4234
1948-04-01,20.1909
1948-05-01,19.8809
1948-06-01,20.8110
1948-07-01,20.0746
1948-08-01,21.3923
1948-09-01,22.1674
1948-10-01,22.2449
1948-11-01,21.2373
1948-12-01,20.0746
1949-01-01,19.8809
1949-02-01,20.1909
1949-03-01,20.2684
1949-04-01,19.7258
1949-05-01,19.5321
1949-06-01,20.2296
1949-07-01,19.7646
1949-08-01,21.7798
